group,best_cv_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
Vegetables,0.037789004731152535,768,3,0.11981951766772674,0.7992236070622754,0.9501281056817532,2,0.057384276773929606,4.501404373483769
Fish,0.041449735870500666,800,3,0.13877306429838043,0.8001284090094595,0.9878537332032844,7,0.001461617503517436,1.1129684039715841
Meat,0.047247278316215474,757,3,0.10685717144495377,0.77894300396863,0.9856643504583561,6,0.0028719608127904814,4.549998450193498
Rice,0.052054054461535014,672,3,0.14986603668815346,0.6314692821695362,0.9713264579108503,7,0.0013953044174868903,1.5933753410531026
