date,region,commodity,commodity_group,category,oni,enso_phase,price_php
2001-03-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.4,Neutral,75.77
2001-04-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-04-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,105.5
2001-04-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,17.35
2001-05-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,105.69
2001-05-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-05-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,92.6
2001-05-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-05-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,16.5
2001-05-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,78.35
2001-06-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-06-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,92.6
2001-06-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-06-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,105.5
2001-06-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,78.61
2001-07-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,104.62
2001-07-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-07-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,93.46
2001-07-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,105.5
2001-07-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,89.25
2001-08-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,95.14
2001-08-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,19.0
2001-08-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,20.0
2001-08-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,88.27
2001-08-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,17.0
2001-08-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,81.13
2001-09-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.2,Neutral,19.0
2001-09-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.2,Neutral,92.0
2001-09-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.2,Neutral,106.5
2001-10-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,105.9
2001-10-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,80.82
2001-11-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,92.09
2001-11-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,84.5
2001-11-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,16.0
2001-12-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,94.22
2001-12-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-12-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2001-12-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,105.5
2001-12-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,84.64
2002-01-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,17.25
2002-01-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,15.75
2002-02-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,0.0,Neutral,17.35
2002-02-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,0.0,Neutral,15.75
2002-03-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,19.0
2002-03-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,106.0
2002-03-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,87.92
2002-04-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.2,Neutral,18.0
2002-04-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.2,Neutral,88.98
2002-04-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.2,Neutral,84.05
2002-05-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,88.99
2002-05-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,84.33
2002-06-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.7,El Nino,21.0
2002-06-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.7,El Nino,88.62
2002-07-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",0.8,El Nino,91.0
2002-07-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",0.8,El Nino,106.0
2002-07-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,0.8,El Nino,19.0
2002-07-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.8,El Nino,83.11
2002-07-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.8,El Nino,18.6
2002-08-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",0.9,El Nino,106.0
2002-08-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.9,El Nino,88.25
2002-08-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.9,El Nino,83.31
2002-09-01,Region III,Meat (pork),Meat,"meat, fish and eggs",1.0,El Nino,96.0
2002-09-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,1.0,El Nino,19.38
2002-09-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,1.0,El Nino,19.13
2002-09-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",1.0,El Nino,83.49
2002-09-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,1.0,El Nino,17.88
2002-10-01,Region III,Meat (pork),Meat,"meat, fish and eggs",1.2,El Nino,96.0
2002-10-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",1.2,El Nino,89.0
2002-10-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,1.2,El Nino,18.88
2002-10-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",1.2,El Nino,106.0
2002-10-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",1.2,El Nino,87.82
2002-10-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,1.2,El Nino,16.5
2002-11-01,Region III,Meat (pork),Meat,"meat, fish and eggs",1.3,El Nino,96.0
2002-11-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,1.3,El Nino,18.8
2002-11-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",1.3,El Nino,103.23
2002-11-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,1.3,El Nino,16.1
2002-12-01,Region III,Meat (pork),Meat,"meat, fish and eggs",1.1,El Nino,96.0
2002-12-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",1.1,El Nino,105.5
2003-01-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.9,El Nino,19.0
2003-01-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.9,El Nino,16.0
2003-02-01,Region III,Meat (pork),Meat,"meat, fish and eggs",0.6,El Nino,96.0
2003-02-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.6,El Nino,19.0
2003-02-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.6,El Nino,84.5
2003-02-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.6,El Nino,17.0
2003-03-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,89.65
2003-03-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,84.4
2003-03-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,16.0
2003-04-01,Region III,Meat (pork),Meat,"meat, fish and eggs",0.0,Neutral,96.0
2003-04-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.0,Neutral,20.0
2003-04-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.0,Neutral,85.0
2003-04-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.0,Neutral,17.38
2003-05-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,96.0
2003-05-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,19.0
2003-05-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,90.0
2003-05-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,-0.3,Neutral,20.0
2003-05-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,88.82
2003-05-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.3,Neutral,85.0
2003-06-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.2,Neutral,96.0
2003-06-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",-0.2,Neutral,90.0
2003-06-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",-0.2,Neutral,103.85
2003-06-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.2,Neutral,18.25
2003-06-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.2,Neutral,85.0
2003-07-01,Region III,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,96.0
2003-07-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,90.0
2003-07-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,20.5
2003-07-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,18.0
2003-07-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,20.0
2003-07-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,85.0
2003-07-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,19.0
2003-08-01,Region III,Meat (pork),Meat,"meat, fish and eggs",0.2,Neutral,96.0
2003-08-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,0.2,Neutral,19.0
2003-08-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.2,Neutral,18.6
2003-09-01,Region VI,Meat (pork),Meat,"meat, fish and eggs",0.3,Neutral,89.08
2003-09-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.3,Neutral,19.67
2003-09-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",0.3,Neutral,105.5
2003-09-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,0.3,Neutral,18.0
2003-09-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.3,Neutral,85.0
2003-09-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.3,Neutral,16.88
2003-10-01,Region III,Meat (pork),Meat,"meat, fish and eggs",0.3,Neutral,96.0
2003-10-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,0.3,Neutral,18.0
2003-10-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.3,Neutral,89.77
2003-10-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,0.3,Neutral,17.13
2003-10-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.3,Neutral,85.0
2003-10-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.3,Neutral,16.0
2003-11-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,18.0
2003-11-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,89.31
2003-11-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,16.0
2003-12-01,Region III,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,102.67
2003-12-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,19.0
2003-12-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,19.0
2003-12-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,107.49
2003-12-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,16.5
2003-12-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,16.0
2004-01-01,Region VI,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,19.5
2004-01-01,Region VII,Meat (pork),Meat,"meat, fish and eggs",0.4,Neutral,112.62
2004-01-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,18.0
2004-01-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.4,Neutral,17.0
